,DEPTH,VP,RHOB,AI
789,695.5536,2262.2244,2.2042,4986.39494584961
790,695.706,2246.709,2.2062,4956.6893613281245
791,695.8584,2232.7515,2.20822,4930.406439697265
792,696.0108,2240.0361,2.21008,4950.65905640625
793,696.1632,2252.9734,2.21184,4983.21666
794,696.3156,2241.8657,2.21338,4962.100753212891
795,696.468,2221.381,2.173,4827.061137939453
796,696.6204,2247.0884,2.19,4921.123549804687
797,696.7728,2285.1472,2.217,5066.171379638672
798,696.9252,2292.105,2.221,5090.765161621094
799,697.0776,2325.602,2.243,5216.325399902344
800,697.23,2333.2085,2.246,5240.386282226563
801,697.3824,2343.0334,2.248,5267.139189453125
802,697.5348,2346.6313,2.247,5272.880638183594
803,697.6872,2308.8037,2.241,5174.029116210938
804,697.8396,2320.4282,2.238,5193.118362304687
805,697.992,2303.2778,2.217,5106.366953613281
806,698.1444,2301.793,2.219,5107.67859765625
807,698.2968,2320.4824,2.231,5176.996283203125
808,698.4492,2330.8945,2.236,5211.880171875
809,698.6016,2364.5518,2.242,5301.325041015625
810,698.754,2380.9094,2.243,5340.379837646484
811,698.9064,2382.6948,2.243,5344.384490722656
812,699.0588,2357.0835,2.24,5279.867031250001
813,699.2112,2341.9229,2.232,5227.1718046875
814,699.3636,2318.087,2.223,5153.107209960937
815,699.516,2316.7239,2.222,5147.760454589844
816,699.6684,2317.8354,2.222,5150.230368164062
817,699.8208,2332.33,2.222,5182.43743359375
818,699.9732,2372.8596,2.223,5274.866933349609
819,700.1256,2382.3164,2.223,5295.88937109375
820,700.278,2399.661,2.226,5341.645138183594
821,700.4304,2404.414,2.228,5357.03453125
822,700.5828,2419.9985,2.24,5420.796718750001
823,700.7352,2423.2065,2.243,5435.252275878906
824,700.8876,2409.4897,2.232,5377.98111328125
825,701.04,2377.418,2.221,5280.24530859375
826,701.1924,2316.1768,2.198,5090.956513671875
827,701.3448,2310.146,2.193,5066.150169433594
828,701.4972,2257.5608,2.176,4912.45228125
829,701.6496,2252.504,2.172,4892.438484375
830,701.802,2362.8574,2.2142599999999995,5231.980674960936
831,701.9544,2359.9292,2.2153599999999996,5228.092750781249
832,702.1068,2385.0317,2.21612,5285.5165358398435
833,702.2592,2320.9917,2.177,5052.798929199219
834,702.4116,2324.3726,2.18,5067.132177734376
835,702.564,2296.0098,2.183,5012.189318359375
836,702.7164,2259.4185,2.184,4934.56991015625
837,702.8688,2281.1123,2.191,4997.917059570312
838,703.0212,2288.8237,2.192,5017.101617187501
839,703.1736,2324.1455,2.209,5134.037426757813
840,703.326,2345.0718,2.22,5206.0593457031255
841,703.4784,2320.6973,2.224,5161.23071875
842,703.6308,2316.8765,2.225,5155.050134277344
843,703.7832,2326.0457,2.229,5184.755763427735
844,703.9356,2324.3123,2.23,5183.216330566406
845,704.088,2346.8704,2.233,5240.561516845703
846,704.2404,2356.0205,2.234,5263.349814453125
847,704.3928,2363.8425,2.239,5292.643423095703
848,704.5452,2366.3691,2.241,5303.033244140625
849,704.6976,2377.9814,2.248,5345.7022890625
850,704.85,2385.9277,2.252,5373.1092578125
851,705.0024,2383.8635,2.25,5363.692932128906
852,705.1548,2355.1243,2.248,5294.319353515625
853,705.3072,2349.1743,2.247,5278.594688964843
854,705.4596,2335.5544,2.251,5257.333052001953
855,705.612,2323.4912,2.252,5232.50220703125
856,705.7644,2323.706,2.249,5226.014916992188
857,705.9168,2321.6685,2.247,5216.789022949219
858,706.0692,2351.3022,2.245,5278.673542480469
